playerName;expressoNb;profit;totalBuyin;totalJackpot;places1;places2;places3;totalX2;totalX4;totalX6;totalX10;totalX20;totalX50;totalX200;totalX1000;totalX10000;itmPercent;averageBuyin;effectiveRake;totalRake;challengePrize;profitPostChall;miles;milesD3;milesD4;milesD5;milesRedD;rbD3;rbD4;rbD5;rbRedD;profitPostRbD3;profitPostRbD4;profitPostRbD5;profitPostRbRedD
siestoboulot;695;-2900;69500;183000;244;224;227;546;101;39;8;1;0;0;0;0;35.11;100;12.23;4865;600;-2300;19460;77840;87570;97300;116760;1167.61;1313.56;1459.51;1751.42;-1132.39;-986.44;-840.49;-548.58
isata;694;-5400;24200;64500;205;242;247;539;101;47;6;1;0;0;0;0;29.54;34.87;11.16;1694;0;-5400;6776;27104;30492;33880;40656;406.56;457.38;508.21;609.85;-4993.44;-4942.62;-4891.79;-4790.15
_SperK_;692;-650;29300;79550;260;242;190;527;113;42;8;2;0;0;0;0;37.57;42.34;9.5;2051;150;-500;8204;32816;36918;41020;49224;492.24;553.78;615.31;738.37;-7.76;53.78;115.31;238.37
bongos;691;1975;50825;145200;238;189;264;507;125;49;9;0;0;1;0;0;34.44;73.55;4.77;3557.75;250;2225;14231;56924;64039.5;71155;85386;853.87;960.6;1067.34;1280.8;3078.87;3185.6;3292.34;3505.8
Djoules59;687;875;20725;55500;254;235;198;532;109;38;6;2;0;0;0;0;36.97;30.17;10.74;1450.75;75;950;5803;23212;26113.5;29015;34818;348.18;391.71;435.23;522.28;1298.18;1341.71;1385.23;1472.28
Iscandaar;687;-2325;21825;57550;236;239;212;526;115;40;6;0;0;0;0;0;34.35;31.77;12.1;1527.75;50;-2275;6111;24444;27499.5;30555;36666;366.66;412.5;458.33;550;-1908.34;-1862.5;-1816.67;-1725
BLOODY.NL;684;-5000;68400;187400;241;156;287;511;115;52;4;2;0;0;0;0;35.23;100;8.67;4788;550;-4450;19152;76608;86184;95760;114912;1149.13;1292.77;1436.41;1723.7;-3300.87;-3157.23;-3013.59;-2726.3
sara6373;681;125;18925;49550;260;222;199;516;121;39;5;0;0;0;0;0;38.18;27.79;12.73;1324.75;100;225;5299;21196;23845.5;26495;31794;317.94;357.69;397.43;476.91;542.94;582.69;622.43;701.91
AuteuiL_yaya;680;-1050;43600;116150;248;240;192;529;103;42;5;0;1;0;0;0;36.47;64.12;11.2;3052;225;-825;12208;48832;54936;61040;73248;732.49;824.05;915.61;1098.73;-92.51;-0.95;90.61;273.73
payeman63;678;1375;24825;68400;274;215;189;497;125;53;2;1;0;0;0;0;40.41;36.62;8.16;1737.75;25;1400;6951;27804;31279.5;34755;41706;417.06;469.2;521.33;625.6;1817.06;1869.2;1921.33;2025.6
BAbaBAbaBA.;676;-7300;43500;118700;212;193;271;504;118;50;4;0;0;0;0;0;31.36;64.35;9.04;3045;250;-7050;12180;48720;54810;60900;73080;730.81;822.16;913.51;1096.21;-6319.19;-6227.84;-6136.49;-5953.79
