"rank";"playerName";"expressoNb";"profit";"totalBuyin";"totalJackpot";"places1";"places2";"places3";"totalX2";"totalX4";"totalX6";"totalX10";"totalX20";"totalX50";"totalX200";"totalX1000";"totalX10000"
"74";"Vincejj";"205";"-1050";"9300";"26650";"64";"80";"61";"140";"45";"18";"2";"0";"0";"0";"0";"0"
"76";"COR.Maniac";"203";"725";"5075";"13500";"86";"61";"56";"160";"29";"9";"5";"0";"0";"0";"0";"0"
"77";"jjsam";"202";"50";"5050";"13500";"75";"75";"52";"159";"26";"13";"4";"0";"0";"0";"0";"0"
"78";"lukyou34";"202";"325";"9925";"26600";"79";"61";"62";"155";"26";"21";"0";"0";"0";"0";"0";"0"
"79";"_Mosquito_";"200";"-875";"6425";"17500";"70";"67";"63";"148";"35";"15";"2";"0";"0";"0";"0";"0"
"80";"billcarson._";"197";"-200";"6050";"15250";"73";"71";"53";"152";"37";"8";"0";"0";"0";"0";"0";"0"
"81";"Lajybe";"191";"-150";"5150";"13550";"73";"52";"66";"144";"38";"8";"1";"0";"0";"0";"0";"0"
"82";"WALYANISW";"190";"925";"5125";"14300";"74";"57";"59";"143";"30";"13";"4";"0";"0";"0";"0";"0"
"83";"Julien4731";"188";"-2525";"5875";"14900";"47";"74";"67";"149";"34";"4";"1";"0";"0";"0";"0";"0"
"84";"Julvar2210";"187";"-525";"5475";"15050";"62";"50";"75";"131";"43";"12";"1";"0";"0";"0";"0";"0"
"85";"PouRiToSs67";"186";"-2075";"7425";"19500";"48";"65";"73";"144";"30";"10";"2";"0";"0";"0";"0";"0"
"86";"LeBasilicain";"184";"-500";"6600";"17350";"62";"56";"66";"138";"32";"13";"1";"0";"0";"0";"0";"0"
"87";"Bastienzz";"183";"125";"4575";"12150";"74";"56";"53";"134";"40";"8";"1";"0";"0";"0";"0";"0"
"88";"FanDeShooye";"182";"100";"6150";"15450";"72";"58";"52";"146";"26";"9";"1";"0";"0";"0";"0";"0"
"89";"TiSoJuTo";"182";"175";"4625";"13000";"64";"68";"50";"131";"32";"17";"2";"0";"0";"0";"0";"0"
"90";"Badmove155";"181";"925";"4725";"13850";"77";"51";"53";"134";"30";"16";"0";"0";"1";"0";"0";"0"
"91";"kitkekoute";"180";"-350";"4500";"11700";"66";"65";"49";"142";"24";"13";"1";"0";"0";"0";"0";"0"
"92";"bobich44";"179";"-575";"4675";"13150";"60";"63";"56";"130";"29";"19";"0";"1";"0";"0";"0";"0"
"93";"Yaourter";"179";"-375";"4475";"10950";"67";"70";"42";"145";"28";"6";"0";"0";"0";"0";"0";"0"
"94";"-Elu-";"178";"-800";"4450";"11400";"58";"69";"51";"137";"32";"9";"0";"0";"0";"0";"0";"0"
"95";"Candels Wash";"174";"-650";"5250";"14250";"57";"52";"65";"125";"33";"16";"0";"0";"0";"0";"0";"0"
"96";"FrifelinZer";"172";"525";"4675";"14300";"58";"60";"54";"126";"28";"15";"2";"0";"1";"0";"0";"0"
"97";"Kiiiingkong";"170";"650";"6400";"17550";"71";"50";"49";"129";"26";"11";"4";"0";"0";"0";"0";"0"
"98";"Sucre-River";"170";"300";"4250";"11950";"62";"52";"56";"128";"25";"12";"5";"0";"0";"0";"0";"0"
"99";"NitBandit";"169";"-575";"4225";"11400";"56";"68";"45";"125";"31";"12";"1";"0";"0";"0";"0";"0"
"100";"Pierro10";"167";"-575";"4825";"12600";"58";"64";"45";"127";"29";"10";"1";"0";"0";"0";"0";"0"
"101";"Superantox31";"167";"775";"4175";"11650";"72";"49";"46";"128";"23";"13";"2";"1";"0";"0";"0";"0"
"102";"Bambino4";"166";"550";"4150";"11000";"67";"53";"46";"126";"28";"11";"1";"0";"0";"0";"0";"0"
"103";"marcopaolo";"165";"50";"5450";"14400";"63";"36";"66";"126";"23";"16";"0";"0";"0";"0";"0";"0"
"104";"YAMA1600";"164";"275";"6825";"19000";"60";"56";"48";"129";"26";"6";"2";"0";"1";"0";"0";"0"
"105";"PokrThreat";"163";"-500";"4650";"11950";"57";"46";"60";"125";"26";"11";"1";"0";"0";"0";"0";"0"
"106";"izalgi13";"162";"-325";"4575";"12150";"61";"51";"50";"121";"26";"15";"0";"0";"0";"0";"0";"0"
"107";"Judas NANASS";"162";"300";"4050";"11200";"61";"51";"50";"122";"24";"13";"3";"0";"0";"0";"0";"0"
"108";"P.SRNICEK";"160";"125";"4775";"13400";"59";"51";"50";"114";"32";"13";"1";"0";"0";"0";"0";"0"
"109";"AdAugusta";"160";"-100";"4000";"10950";"53";"69";"38";"114";"33";"13";"0";"0";"0";"0";"0";"0"
"110";"Needle Sting";"158";"-200";"4000";"10650";"57";"49";"52";"121";"23";"13";"1";"0";"0";"0";"0";"0"
"111";"O0IIIIII0O";"157";"1450";"7850";"23400";"56";"50";"51";"115";"25";"13";"2";"2";"0";"0";"0";"0"
"112";"SEGOMAN";"157";"-950";"4450";"11750";"46";"51";"60";"118";"30";"9";"0";"0";"0";"0";"0";"0"
"113";"Cabouleur02";"155";"-675";"4925";"13150";"56";"49";"50";"120";"23";"11";"1";"0";"0";"0";"0";"0"
"114";"lowbrow";"154";"750";"5200";"15550";"57";"54";"43";"106";"27";"19";"2";"0";"0";"0";"0";"0"
"115";"guigui322";"153";"475";"5025";"13750";"67";"44";"42";"111";"30";"11";"1";"0";"0";"0";"0";"0"
"116";"LexpressoMan";"150";"-225";"4675";"11350";"58";"36";"56";"127";"13";"9";"1";"0";"0";"0";"0";"0"
"117";"windguru14";"149";"300";"4700";"12350";"59";"34";"56";"112";"32";"2";"3";"0";"0";"0";"0";"0"
"118";"TaoOoo";"148";"-625";"3725";"9450";"50";"56";"42";"116";"25";"7";"0";"0";"0";"0";"0";"0"
"119";"Gini2a";"148";"-625";"5675";"14800";"47";"54";"47";"113";"23";"12";"0";"0";"0";"0";"0";"0"
"120";"El Fideo";"148";"175";"3725";"10950";"52";"62";"34";"107";"22";"14";"5";"0";"0";"0";"0";"0"
"121";"BOUR GUIGNON";"145";"675";"4525";"11400";"65";"45";"35";"120";"13";"11";"1";"0";"0";"0";"0";"0"
"122";"tlr34";"144";"-200";"3600";"9650";"54";"52";"38";"113";"17";"12";"2";"0";"0";"0";"0";"0"
"123";"Simbaaaaaaaa";"143";"450";"4850";"13300";"54";"31";"58";"107";"23";"11";"2";"0";"0";"0";"0";"0"
"124";"HanK_HulaY";"143";"-1250";"4300";"10850";"40";"57";"46";"113";"18";"12";"0";"0";"0";"0";"0";"0"
"125";"DesperHate";"143";"-250";"7150";"18400";"53";"48";"42";"111";"23";"9";"0";"0";"0";"0";"0";"0"
"126";"Pelele64";"141";"225";"4575";"13100";"51";"50";"40";"104";"25";"10";"2";"0";"0";"0";"0";"0"
